Date,Open,High,Low,Close,Adj Close,Volume,Code
2016-01-04,621,630,561,571,1142,21241000,4042
2016-01-12,565,573,548,555,1110,18135000,4042
2016-01-18,538,546,513,544,1088,25232000,4042
2016-01-25,556,578,532,575,1150,20604000,4042
2016-02-01,590,593,454,463,926,49411000,4042
2016-02-08,454,475,399,400,800,36519000,4042
2016-02-15,417,450,411,436,872,42462000,4042
2016-02-22,431,445,411,428,856,28689000,4042
2016-02-29,434,484,411,479,958,26898000,4042
2016-03-07,487,488,452,479,958,21191000,4042
2016-03-14,485,496,478,485,970,14218000,4042
2016-03-22,489,491,473,485,970,10714000,4042
2016-03-28,492,494,447,449,898,22844000,4042
2016-04-04,447,454,424,446,892,35416000,4042
2016-04-11,443,506,426,496,992,30055000,4042
2016-04-18,480,540,477,539,1078,25945000,4042
2016-04-25,543,549,508,510,1020,19681000,4042
2016-05-02,481,499,476,483,966,11965000,4042
2016-05-09,476,536,467,502,1004,33901000,4042
2016-05-16,505,558,503,556,1112,26239000,4042
2016-05-23,552,553,510,518,1036,25315000,4042
2016-05-30,524,553,520,540,1080,21568000,4042
2016-06-06,524,552,516,533,1066,23503000,4042
2016-06-13,520,526,496,518,1036,26664000,4042
2016-06-20,530,552,485,487,974,27711000,4042
2016-06-27,494,498,443,460,920,25198000,4042
2016-07-04,456,469,435,438,876,21405000,4042
2016-07-11,449,529,444,513,1026,29247000,4042
2016-07-19,527,532,507,511,1022,15146000,4042
2016-07-25,513,545,495,528,1056,25669000,4042
2016-08-01,515,588,505,565,1130,38057000,4042
2016-08-08,577,592,565,581,1162,18589000,4042
2016-08-15,582,616,575,612,1224,22328000,4042
2016-08-22,613,637,602,604,1208,24403000,4042
2016-08-29,614,644,613,622,1244,20088000,4042
2016-09-05,630,639,612,637,1274,20728000,4042
2016-09-12,627,628,602,607,1214,15493000,4042
2016-09-20,605,636,602,626,1252,8980000,4042
2016-09-26,623,657,607,618,1236,22680000,4042
2016-10-03,626,660,624,649,1298,16797000,4042
2016-10-11,657,669,648,652,1304,14160000,4042
2016-10-17,654,687,653,657,1314,23794000,4042
2016-10-24,658,706,656,692,1384,22684000,4042
2016-10-31,691,719,660,716,1432,37769000,4042
2016-11-07,720,731,666,713,1426,26061000,4042
2016-11-14,722,745,701,736,1472,28911000,4042
2016-11-21,733,769,729,757,1514,16247000,4042
2016-11-28,752,806,752,788,1576,25174000,4042
2016-12-05,799,887,792,867,1734,27882000,4042
2016-12-12,879,882,837,863,1726,21673000,4042
2016-12-19,860,867,827,837,1674,15623000,4042
2016-12-26,834,862,807,827,1654,17721000,4042
2017-01-04,829,852,778,801,1602,19820000,4042
2017-01-10,801,841,797,837,1674,24006000,4042
2017-01-16,834,847,799,839,1678,22490000,4042
2017-01-23,846,880,833,874,1748,25213000,4042
2017-01-30,870,919,838,872,1744,40202000,4042
2017-02-06,882,935,870,934,1868,23266000,4042
2017-02-13,948,1007,942,994,1988,24040000,4042
2017-02-20,988,1028,798,985,1970,31963000,4042
2017-02-27,958,1016,950,992,1984,23808000,4042
2017-03-06,992,1055,985,1019,2038,26080000,4042
2017-03-13,1015,1033,983,995,1990,24484000,4042
2017-03-21,995,1002,950,969,1938,16352000,4042
2017-03-27,950,1001,945,978,1956,21347000,4042
2017-04-03,983,990,945,962,1924,25787000,4042
2017-04-10,966,989,934,963,1926,26483000,4042
2017-04-17,953,1007,934,1004,2008,27850000,4042
2017-04-24,1014,1057,989,1047,2094,26357000,4042
2017-05-01,1050,1060,1041,1045,2090,7133000,4042
2017-05-08,1063,1087,1018,1020,2040,38681000,4042
2017-05-15,1010,1020,953,974,1948,37764000,4042
2017-05-22,986,989,929,941,1882,30618000,4042
2017-05-29,945,1022,925,1021,2042,68653000,4042
2017-06-05,1030,1083,1014,1081,2162,36426000,4042
2017-06-12,1093,1098,1055,1084,2168,26183000,4042
2017-06-19,1090,1141,1076,1128,2256,21553000,4042
2017-06-26,1128,1164,1126,1151,2302,16482000,4042
2017-07-03,1155,1192,1153,1178,2356,17439000,4042
2017-07-10,1197,1285,1190,1280,2560,20929000,4042
2017-07-18,1271,1332,1257,1332,2664,15531000,4042
2017-07-24,1334,1348,1273,1280,2560,17122000,4042
2017-07-31,1280,1329,1136,1148,2296,45730000,4042
2017-08-07,1154,1217,1127,1137,2274,19166000,4042
2017-08-14,1125,1219,1125,1204,2408,22465000,4042
2017-08-21,1174,1240,1154,1229,2458,18209000,4042
2017-08-28,1233,1309,1209,1270,2540,18631000,4042
2017-09-04,1255,1282,1223,1277,2554,17788000,4042
2017-09-11,1290,1318,1258,1288,2576,17230000,4042
2017-09-19,1302,1305,1253,1257,2514,15008000,4042
2017-09-25,2542,2593,2490,2536,2536,6954900,4042
2017-10-02,2535,2537,2427,2472,2472,8131600,4042
2017-10-10,2470,2544,2384,2412,2412,8994800,4042
2017-10-16,2381,2518,2356,2512,2512,11359300,4042
2017-10-23,2541,2657,2472,2495,2495,13057800,4042
