Date,Open,High,Low,Close,Adj Close,Volume,Code
2016-01-04,2491.0,2527.0,2162.5,2220.5,2220.5,45339200,7261
2016-01-12,2170.5,2222.0,2042.5,2058.0,2058.0,40061400,7261
2016-01-18,1980.5,2103.5,1878.0,2012.5,2012.5,49734400,7261
2016-01-25,2054.0,2220.0,1935.0,2148.5,2148.5,50127900,7261
2016-02-01,2262.0,2271.0,1801.0,1842.5,1842.5,55195000,7261
2016-02-08,1800.0,1884.5,1477.0,1486.0,1486.0,53215200,7261
2016-02-15,1590.0,1728.5,1554.0,1614.0,1614.0,61673100,7261
2016-02-22,1590.0,1660.0,1518.5,1567.0,1567.0,51260300,7261
2016-02-29,1618.0,1724.0,1517.0,1705.0,1705.0,50782600,7261
2016-03-07,1745.0,1747.0,1573.5,1704.5,1704.5,44532000,7261
2016-03-14,1730.5,1783.5,1640.0,1663.5,1663.5,40723500,7261
2016-03-22,1698.0,1740.0,1651.0,1735.5,1735.5,26555300,7261
2016-03-28,1750.0,1778.0,1642.0,1655.5,1655.5,40134600,7261
2016-04-04,1615.5,1615.5,1424.0,1505.5,1505.5,58745700,7261
2016-04-11,1475.0,1675.0,1433.0,1647.5,1647.5,52513100,7261
2016-04-18,1560.0,1820.0,1557.5,1816.5,1816.5,56072000,7261
2016-04-25,1844.0,1907.0,1728.5,1744.5,1744.5,47119700,7261
2016-05-02,1632.0,1709.5,1630.0,1674.5,1674.5,18398000,7261
2016-05-09,1702.0,1817.5,1670.0,1740.5,1740.5,35198600,7261
2016-05-16,1733.0,1817.5,1722.0,1796.5,1796.5,28132000,7261
2016-05-23,1782.5,1827.0,1738.0,1794.5,1794.5,30634100,7261
2016-05-30,1830.5,1919.0,1804.0,1815.0,1815.0,33951100,7261
2016-06-06,1750.0,1819.5,1737.0,1759.5,1759.5,24643700,7261
2016-06-13,1700.0,1709.0,1575.5,1619.0,1619.0,41794400,7261
2016-06-20,1668.0,1804.5,1531.0,1566.0,1566.0,45730300,7261
2016-06-27,1526.0,1530.0,1310.0,1348.5,1348.5,75461100,7261
2016-07-04,1330.0,1385.0,1208.0,1211.5,1211.5,56966100,7261
2016-07-11,1244.0,1532.0,1242.0,1499.5,1499.5,68008200,7261
2016-07-19,1512.0,1550.5,1447.0,1483.0,1483.0,34321600,7261
2016-07-25,1580.0,1622.0,1500.5,1547.5,1547.5,51393600,7261
2016-08-01,1508.0,1554.0,1438.5,1509.0,1509.0,38434700,7261
2016-08-08,1549.0,1615.0,1546.5,1601.5,1601.5,26169300,7261
2016-08-15,1585.5,1601.0,1505.0,1544.0,1544.0,34661300,7261
2016-08-22,1552.0,1561.0,1493.0,1516.0,1516.0,24566800,7261
2016-08-29,1580.0,1736.0,1572.0,1716.5,1716.5,36000200,7261
2016-09-05,1761.5,1767.5,1636.0,1670.5,1670.5,28743900,7261
2016-09-12,1648.0,1672.5,1566.0,1601.5,1601.5,22873400,7261
2016-09-20,1575.0,1633.0,1552.5,1580.0,1580.0,21000300,7261
2016-09-26,1565.0,1585.0,1501.0,1531.5,1531.5,28564300,7261
2016-10-03,1551.0,1679.5,1537.5,1668.0,1668.0,28974500,7261
2016-10-11,1663.5,1682.0,1610.5,1640.0,1640.0,17934800,7261
2016-10-17,1639.0,1693.0,1633.0,1660.0,1660.0,20366600,7261
2016-10-24,1663.0,1737.5,1645.0,1729.5,1729.5,23891200,7261
2016-10-31,1713.5,1728.0,1541.5,1570.0,1570.0,24500200,7261
2016-11-07,1627.5,1683.5,1455.5,1532.0,1532.0,61037200,7261
2016-11-14,1540.0,1787.0,1538.5,1773.5,1773.5,52918100,7261
2016-11-21,1800.0,1924.0,1733.0,1881.0,1881.0,41731800,7261
2016-11-28,1845.0,1935.0,1822.5,1882.5,1882.5,37924500,7261
2016-12-05,1845.5,1985.0,1830.5,1967.0,1967.0,35962000,7261
2016-12-12,2029.5,2066.0,1936.5,2053.5,2053.5,42709200,7261
2016-12-19,2050.0,2050.5,1985.0,2012.0,2012.0,25721000,7261
2016-12-26,1985.0,2002.0,1888.5,1912.0,1912.0,24395700,7261
2017-01-04,1938.0,1978.0,1862.0,1881.5,1881.5,24256400,7261
2017-01-10,1859.0,1884.5,1813.0,1860.5,1860.5,26213500,7261
2017-01-16,1851.0,1860.0,1761.5,1813.0,1813.0,30473200,7261
2017-01-23,1775.0,1786.0,1693.0,1736.5,1736.5,34183200,7261
2017-01-30,1728.0,1739.5,1575.0,1594.5,1594.5,41297800,7261
2017-02-06,1614.5,1616.5,1514.5,1589.5,1589.5,35637600,7261
2017-02-13,1633.0,1647.5,1573.5,1591.5,1591.5,32350300,7261
2017-02-20,1592.0,1644.5,1578.5,1601.5,1601.5,25413100,7261
2017-02-27,1584.0,1690.0,1565.0,1610.0,1610.0,40091500,7261
2017-03-06,1611.5,1678.5,1594.0,1674.0,1674.0,25992400,7261
2017-03-13,1655.0,1679.5,1610.5,1618.5,1618.5,24523000,7261
2017-03-21,1617.0,1634.0,1570.0,1599.0,1599.0,21449600,7261
2017-03-27,1575.5,1644.0,1545.5,1603.0,1603.0,30916900,7261
2017-04-03,1603.0,1607.0,1485.0,1502.0,1502.0,37372400,7261
2017-04-10,1520.0,1565.0,1447.5,1472.0,1472.0,30467000,7261
2017-04-17,1454.5,1542.0,1439.0,1537.0,1537.0,26501500,7261
2017-04-24,1579.5,1661.5,1532.0,1634.0,1634.0,39613000,7261
2017-05-01,1583.5,1614.5,1564.0,1603.0,1603.0,15886000,7261
2017-05-08,1626.0,1643.5,1570.5,1578.0,1578.0,30468800,7261
2017-05-15,1575.0,1580.0,1495.0,1532.0,1532.0,32495600,7261
2017-05-22,1536.0,1556.0,1518.5,1523.0,1523.0,18651500,7261
2017-05-29,1523.0,1566.0,1499.0,1558.0,1558.0,24298000,7261
2017-06-05,1530.0,1552.5,1511.5,1531.0,1531.0,31906400,7261
2017-06-12,1526.5,1540.0,1496.0,1512.5,1512.5,24631200,7261
2017-06-19,1500.0,1522.5,1488.0,1511.0,1511.0,25184100,7261
2017-06-26,1510.0,1569.5,1507.0,1568.0,1568.0,26076900,7261
2017-07-03,1573.0,1631.5,1558.0,1629.0,1629.0,34253700,7261
2017-07-10,1640.0,1645.5,1579.0,1608.0,1608.0,25358500,7261
2017-07-18,1595.5,1620.0,1575.5,1597.5,1597.5,17775100,7261
2017-07-24,1582.5,1681.5,1568.0,1661.0,1661.0,32452500,7261
2017-07-31,1665.0,1738.5,1625.5,1688.5,1688.5,40935200,7261
2017-08-07,1707.0,1729.0,1653.0,1664.0,1664.0,23009100,7261
2017-08-14,1650.5,1676.5,1598.5,1615.5,1615.5,26693300,7261
2017-08-21,1605.5,1629.5,1581.5,1607.0,1607.0,20211100,7261
2017-08-28,1605.0,1632.0,1581.5,1619.0,1619.0,18120100,7261
2017-09-04,1600.5,1601.5,1540.5,1543.0,1543.0,25893400,7261
2017-09-11,1557.5,1624.5,1555.5,1623.5,1623.5,20693100,7261
2017-09-19,1657.0,1695.5,1643.5,1682.5,1682.5,21716100,7261
2017-09-25,1698.0,1758.5,1676.0,1725.0,1725.0,30543300,7261
2017-10-02,1719.5,1783.5,1700.5,1730.0,1730.0,24314300,7261
2017-10-10,1714.5,1724.0,1601.5,1620.5,1620.5,31765100,7261
2017-10-16,1618.0,1624.5,1583.0,1597.0,1597.0,33340800,7261
2017-10-23,1612.5,1647.5,1598.0,1637.5,1637.5,27631500,7261
2017-10-30,1643.5,1657.0,1603.5,1653.0,1653.0,21053800,7261
2017-11-06,1635.0,1637.0,1545.5,1558.0,1558.0,48331600,7261
2017-11-13,1564.0,1570.5,1512.0,1522.5,1522.5,30949800,7261
2017-11-20,1513.5,1538.0,1495.0,1502.0,1502.0,22064500,7261
2017-11-27,1507.0,1516.0,1463.0,1500.0,1500.0,30174500,7261
2017-12-04,1493.5,1503.0,1467.5,1480.0,1480.0,28379600,7261
2017-12-11,1487.0,1539.5,1483.5,1500.5,1500.5,24975100,7261
2017-12-18,1515.0,1521.0,1487.0,1501.5,1501.5,20318200,7261
2017-12-25,1503.0,1523.0,1497.0,1511.5,1511.5,15329400,7261
2018-01-04,1530.0,1585.5,1529.5,1562.5,1562.5,14123000,7261
2018-01-09,1579.5,1602.5,1559.0,1579.5,1579.5,21334800,7261
2018-01-15,1591.0,1598.5,1558.0,1569.5,1569.5,20298000,7261
2018-01-22,1568.0,1612.0,1558.0,1560.0,1560.0,24750900,7261
2018-01-29,1561.5,1577.5,1518.5,1549.0,1549.0,23905300,7261
2018-02-05,1522.0,1560.0,1456.0,1512.0,1512.0,45232600,7261
2018-02-13,1517.5,1546.0,1466.5,1470.5,1470.5,28313600,7261
2018-02-19,1481.0,1508.0,1459.0,1486.5,1486.5,27858800,7261
2018-02-26,1490.5,1532.0,1424.5,1431.5,1431.5,31850300,7261
2018-03-05,1420.0,1443.5,1373.5,1377.5,1377.5,32878600,7261
2018-03-12,1390.5,1421.0,1380.5,1414.5,1414.5,20820700,7261
2018-03-19,1412.0,1435.0,1371.0,1386.0,1386.0,20469300,7261
2018-03-26,1371.0,1425.5,1360.0,1406.5,1406.5,23620900,7261
2018-04-02,1401.0,1436.0,1382.0,1420.0,1420.0,26861300,7261
2018-04-09,1418.5,1472.0,1412.5,1458.5,1458.5,20964700,7261
2018-04-16,1464.0,1484.5,1452.0,1472.0,1472.0,15769300,7261
2018-04-23,1475.0,1542.0,1472.5,1521.5,1521.5,23601500,7261
2018-05-01,1465.5,1499.0,1457.5,1464.0,1464.0,12868700,7261
2018-05-07,1466.0,1471.0,1442.5,1463.5,1463.5,20403600,7261
2018-05-14,1449.0,1477.0,1433.0,1471.0,1471.0,17689500,7261
2018-05-21,1476.0,1492.0,1383.0,1403.0,1403.0,29662100,7261
2018-05-28,1414.0,1423.5,1351.0,1386.0,1386.0,27619000,7261
2018-06-04,1395.5,1443.0,1393.0,1422.5,1422.5,20035600,7261
2018-06-11,1410.5,1444.0,1397.5,1425.0,1425.0,18014000,7261
2018-06-18,1415.0,1415.0,1345.0,1368.5,1368.5,23657900,7261
2018-06-25,1359.5,1369.0,1338.5,1360.0,1360.0,18911400,7261
2018-07-02,1348.0,1359.5,1312.5,1326.0,1326.0,21966900,7261
2018-07-09,1328.0,1349.5,1302.0,1327.5,1327.5,17558800,7261
2018-07-17,1332.0,1379.5,1331.0,1372.0,1372.0,15220500,7261
2018-07-23,1349.5,1387.0,1340.0,1375.5,1375.5,15188700,7261
2018-07-30,1384.5,1410.5,1331.0,1333.5,1333.5,28216800,7261
2018-08-06,1334.5,1349.5,1314.5,1320.0,1320.0,17536200,7261
2018-08-13,1310.0,1310.0,1266.0,1287.0,1287.0,18378300,7261
2018-08-20,1275.5,1299.5,1260.0,1272.5,1272.5,21840000,7261
2018-08-27,1273.0,1340.5,1267.5,1288.5,1288.5,22609700,7261
2018-09-03,1282.5,1286.5,1225.0,1232.0,1232.0,18499500,7261
2018-09-10,1229.0,1289.0,1225.5,1287.0,1287.0,18805500,7261
2018-09-18,1289.0,1359.0,1279.5,1359.0,1359.0,22381100,7261
2018-09-25,1331.0,1382.0,1313.0,1364.0,1364.0,22119600,7261
2018-10-01,1363.0,1376.0,1320.5,1341.5,1341.5,20650700,7261
2018-10-09,1320.0,1327.5,1250.0,1286.5,1286.5,21202200,7261
2018-10-15,1270.0,1295.5,1255.5,1268.5,1268.5,16387000,7261
2018-10-22,1262.0,1271.5,1187.5,1192.0,1192.0,28204000,7261
2018-10-29,1197.5,1235.0,1182.0,1228.0,1228.0,27081200,7261
2018-11-05,1211.5,1248.0,1198.0,1212.0,1212.0,21655200,7261
2018-11-12,1201.0,1221.0,1166.5,1186.5,1186.5,26982400,7261
2018-11-19,1180.0,1187.5,1147.0,1178.0,1178.0,15787900,7261
2018-11-26,1184.5,1236.0,1181.5,1210.0,1210.0,26256900,7261
2018-12-03,1225.5,1262.5,1210.0,1240.5,1240.5,26710800,7261
