Date,Open,High,Low,Close,Adj Close,Volume,Code
2018-01-04,351,355,351,355,355,13069400,2768
2018-01-05,360,362,356,358,358,9321700,2768
2018-01-09,361,363,354,355,355,17665000,2768
2018-01-10,357,360,356,360,360,9679900,2768
2018-01-11,359,367,358,367,367,15135100,2768
2018-01-12,371,374,367,369,369,14127900,2768
2018-01-15,374,377,372,373,373,7760100,2768
2018-01-16,375,376,372,373,373,5562700,2768
2018-01-17,370,372,368,369,369,7325500,2768
2018-01-18,371,371,360,360,360,15570900,2768
2018-01-19,362,365,361,364,364,7878000,2768
2018-01-22,362,368,361,362,362,7245400,2768
2018-01-23,365,365,362,363,363,5462200,2768
2018-01-24,363,366,360,363,363,10214000,2768
2018-01-25,362,365,359,363,363,12861000,2768
2018-01-26,363,366,359,362,362,8703600,2768
2018-01-29,362,364,359,362,362,6463100,2768
2018-01-30,361,362,355,356,356,9421600,2768
2018-01-31,352,360,351,352,352,12838500,2768
2018-02-01,353,358,352,357,357,5574200,2768
2018-02-02,357,369,357,366,366,18422500,2768
2018-02-05,362,363,356,356,356,11181700,2768
2018-02-06,343,345,336,342,342,20766900,2768
2018-02-07,355,356,341,341,341,13458100,2768
2018-02-08,343,345,341,343,343,11345300,2768
2018-02-09,336,341,334,341,341,15136700,2768
2018-02-13,345,346,334,334,334,13786300,2768
2018-02-14,336,340,334,335,335,13527000,2768
2018-02-15,337,339,333,338,338,11709000,2768
2018-02-16,340,342,338,338,338,9299500,2768
2018-02-19,340,348,339,347,347,7704800,2768
2018-02-20,345,347,343,346,346,8822400,2768
2018-02-21,347,349,343,344,344,11255800,2768
2018-02-22,343,343,333,334,334,17661700,2768
2018-02-23,338,345,337,344,344,11210600,2768
2018-02-26,348,352,346,351,351,10778700,2768
2018-02-27,355,359,354,356,356,8685700,2768
2018-02-28,353,356,351,352,352,11265100,2768
2018-03-01,348,350,345,347,347,10694600,2768
2018-03-02,341,345,340,341,341,10475800,2768
2018-03-05,342,342,332,333,333,13478300,2768
2018-03-06,339,343,334,335,335,11894700,2768
2018-03-07,335,337,332,334,334,11449200,2768
2018-03-08,336,339,333,336,336,10824300,2768
2018-03-09,340,342,334,335,335,16272300,2768
2018-03-12,342,348,341,346,346,11976000,2768
2018-03-13,343,347,342,346,346,8319500,2768
2018-03-14,341,345,341,343,343,6578000,2768
2018-03-15,342,343,338,341,341,6907500,2768
2018-03-16,341,342,338,339,339,6769700,2768
2018-03-19,336,338,333,334,334,6692000,2768
2018-03-20,333,340,333,339,339,8973700,2768
2018-03-22,342,344,339,342,342,9537500,2768
2018-03-23,333,336,332,335,335,18404500,2768
2018-03-26,334,335,325,328,328,15450800,2768
2018-03-27,333,342,331,342,342,12896500,2768
2018-03-28,330,335,329,335,335,10483000,2768
2018-03-29,341,342,332,335,335,9659900,2768
2018-03-30,338,343,336,341,341,10017700,2768
2018-04-02,340,344,340,340,340,4758000,2768
2018-04-03,335,337,334,335,335,8273000,2768
2018-04-04,338,340,333,335,335,10218200,2768
2018-04-05,335,338,332,335,335,9880800,2768
2018-04-06,335,338,334,335,335,8231400,2768
2018-04-09,334,336,331,333,333,11116300,2768
2018-04-10,332,340,331,338,338,12800400,2768
2018-04-11,338,348,338,345,345,13116600,2768
2018-04-12,347,347,340,341,341,10458600,2768
2018-04-13,343,346,341,343,343,7443100,2768
2018-04-16,344,346,342,343,343,8317500,2768
2018-04-17,342,343,338,341,341,9029600,2768
2018-04-18,342,344,341,344,344,5086200,2768
2018-04-19,344,354,344,351,351,14425700,2768
2018-04-20,350,356,350,353,353,7496400,2768
2018-04-23,355,358,353,355,355,5159300,2768
2018-04-24,358,363,356,363,363,10440000,2768
2018-04-25,360,365,359,364,364,8746500,2768
2018-04-26,366,367,362,363,363,7015600,2768
2018-04-27,364,367,360,361,361,8540400,2768
2018-05-01,361,379,358,379,379,21829000,2768
2018-05-02,380,390,376,390,390,19327100,2768
2018-05-07,392,410,392,409,409,23868000,2768
2018-05-08,405,423,404,412,412,27719800,2768
2018-05-09,410,415,405,409,409,19742200,2768
2018-05-10,410,421,406,419,419,19087400,2768
2018-05-11,419,424,417,420,420,11975600,2768
2018-05-14,418,422,413,420,420,13426200,2768
2018-05-15,419,427,419,423,423,9841500,2768
2018-05-16,422,427,419,424,424,11079400,2768
2018-05-17,427,433,425,429,429,12053400,2768
2018-05-18,430,431,426,429,429,8745700,2768
2018-05-21,429,429,421,424,424,9022900,2768
2018-05-22,422,429,421,426,426,12086200,2768
2018-05-23,424,424,410,411,411,16494000,2768
2018-05-24,410,411,404,406,406,15073800,2768
2018-05-25,403,409,401,406,406,11337600,2768
2018-05-28,404,404,396,397,397,11406000,2768
2018-05-29,395,400,392,397,397,12910500,2768
2018-05-30,390,391,385,390,390,11924600,2768
2018-05-31,396,397,387,388,388,13849600,2768
2018-06-01,387,393,385,389,389,11908800,2768
2018-06-04,395,398,391,394,394,11312700,2768
2018-06-05,395,396,388,392,392,13510300,2768
