value_date,stock_code,open,close,HIGH,LOW,VOLUME,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2017-01-04,3467,546,547,550,534,46800,,547.0,547.0,,,,0.0,,,,,,
2017-01-05,3467,545,540,545,535,21600,,543.15,543.3157894736842,,,,0.0972222222221717,,0.0,,,,
2017-01-06,3467,542,550,542,534,26200,,541.4817275747508,541.7232472324723,,,,0.13959035323523494,,0.0,,,,550.0
2017-01-10,3467,548,542,549,546,18600,,542.9702970297029,542.9668508287292,,,,-0.010092514718166967,,50.12787723785166,,,,542.0
2017-01-11,3467,546,534,548,543,9000,,544.4141879570989,544.195917071622,,,,-0.136884047055446,,56.79222771433441,,,534.0,
2017-01-12,3467,549,534,563,548,57400,,547.1636889978389,546.5017276372878,,,,-0.3984784335538052,,71.26526982133981,,,534.0,
2017-01-13,3467,555,535,569,551,39000,,552.4253627636509,550.8141943185692,,,,-0.9582411897523571,,83.30793636198223,,,535.0,
2017-01-16,3467,575,537,610,561,133200,,554.8311436969799,552.953808735051,,,,-1.0806263749144591,,69.8054755450325,,,537.0,
2017-01-17,3467,570,542,581,564,30600,,557.9137909997753,555.5732550235425,,,,-1.322627449064612,-0.4077930481779377,74.29261119135427,,,542.0,
2017-01-18,3467,569,547,599,568,38000,557.5,566.5442024963725,562.2407365948766,,592.1669871780055,522.8330128219945,-2.473919699937369,-0.6826730148376454,85.71966229934424,,,547.0,
2017-01-19,3467,603,552,608,593,40000,562.4,572.5616536716988,567.1605536618202,108.9579524680073,603.0762830160278,521.7237169839722,-3.041273336181689,-1.0313947435491855,81.80374016359889,,,552.0,
2017-01-20,3467,595,556,595,578,35600,566.7,574.6472161637995,569.3679252223081,107.96296296296298,606.0654670999849,527.3345329000152,-2.8423208657495707,-1.362718212325275,67.42880648145453,,,556.0,
2017-01-23,3467,594,560,595,585,32600,571.9,577.85676479947,572.2683925885107,109.64749536178107,608.9237761445262,534.8762238554738,-2.9286549377519577,-1.6870029259956962,70.82627815956184,,,560.0,
2017-01-24,3467,595,564,605,592,27000,577.8,583.1082575573446,576.512459770542,110.80586080586082,615.235811731549,540.3641882684509,-3.4434647839544823,-2.054400785651145,75.61913091332978,,,564.0,
