Date,Open,High,Low,Close,Adj Close,Volume,Code,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2016-01-04,7400,7495,6763,6864,6864,60774800,7203,,6864.0,6864.0,,,,0.0,,,,,,
2016-01-12,6800,7005,6700,6759,6759,46524100,7203,,6806.25,6808.736842105263,,,,1.4583333333330302,,0.0,,,,
2016-01-18,6600,6837,6392,7495,6822,61996000,7203,,6812.581395348838,6813.630996309964,,,,0.5700601976286634,,39.25233644859813,,,,7495.0
2016-01-25,6877,7288,6613,6837,7200,60065000,7203,,6940.218564356436,6925.98022681012,,,,-8.561434679003469,,82.82171173002644,,,,6837.0
2016-02-01,7300,7355,6531,6392,6625,57903500,7203,,6849.727887688477,6852.482576738053,,,,1.9804205276986977,,38.08015032079781,,,6392.0,
2016-02-08,6450,6603,5703,7355,5710,74649500,7203,,6553.701186981905,6608.653608190218,,,,33.39101337098327,,19.773948071987462,,,,7355.0
2016-02-15,6029,6342,5961,6603,5999,73719100,7203,,6420.040483801842,6491.795263244555,,,,42.13564679029696,,31.04862185637272,,,,6603.0
2016-02-22,5906,6070,5827,6342,5910,61783100,7203,,6304.003815712791,6389.642187344472,,,,48.94521220588831,,29.665936160987883,,,,6342.0
2016-02-29,6001,6232,5824,6070,6229,64484800,7203,,6287.685610117247,6363.418295676559,,,,41.109305007549665,17.892061861597238,39.98268918067796,,,,6070.0
2016-03-07,6205,6223,5901,5703,6140,57601500,7203,6425.8,6256.663337231693,6329.115992569801,,7359.624737303527,5491.975262696474,37.87478199700308,22.10037097237536,38.29495929164626,,,5703.0,
2016-03-14,6209,6244,5858,5713,5888,52485900,7203,6328.2,6181.350026442828,6264.831118735221,85.78088578088578,7262.442709364113,5393.957290635886,43.634664790795796,26.78663002320455,33.927953012941785,,,5713.0,
2016-03-22,6000,6186,5962,5734,6180,38121600,7203,6270.3,6181.080293630373,6253.009127300512,91.43364403018198,7161.338517685964,5379.261482314037,35.313731353348885,30.64703792939569,42.158832593231466,,,5734.0,
