minsup :69
70 1:(1605) 0 (0f5101)
73 2:(1605) 0 (0f5631)
75 3:(1605) 0 (0f6301)
73 4:(1605) 0 (0f6305)
86 5:(1605) 0 (0f6841)
75 6:(1605) 0 (0f6902)
79 7:(1605) 0 (0f7267)
73 8:(1605) 0 (0f7272)
69 9:(1605) 0 (0f7762)
70 10:(1605) 0 (0f8015)
83 11:(1605) 0 (0f8031)
74 13:(1605) 0 (0f8053)
84 14:(1605) 0 (0f8058)
80 17:(1605) 0 (0f8316)
69 28:(1605) 0 (0f8331)
81 29:(1605) 0 (0f8750)
75 32:(1605) 0 (0f8795)
72 34:(1721) 0 (0f2002)
70 35:(1721) 0 (0f3861)
75 36:(1721) 0 (0f6367)
75 37:(1721) 0 (0f7731)
77 38:(1721) 0 (0f8015)
70 39:(1721) 0 (0f9301)
89 40:(1801) 0 (0f3101)
69 42:(1801) 0 (0f3101) 0 (1f7912) 0 (b0)
79 47:(1801) 0 (0f4043)
80 48:(1801) 0 (0f4061)
83 54:(1801) 0 (0f4183)
75 60:(1801) 0 (0f4208)
78 63:(1801) 0 (0f5233)
83 67:(1801) 0 (0f5706)
69 73:(1801) 0 (0f5706) 0 (1f9202) 0 (b0)
70 76:(1801) 0 (0f5713)
69 77:(1801) 0 (0f6302)
71 78:(1801) 0 (0f7011)
72 79:(1801) 0 (0f7012)
77 80:(1801) 0 (0f7013)
99 81:(1801) 0 (0f7912)
76 86:(1801) 0 (0f7912) 0 (1f9001) 0 (b0)
70 98:(1801) 0 (0f8303)
93 99:(1801) 0 (0f8304)
76 117:(1801) 0 (0f8304) 0 (1f9001) 0 (b0)
69 137:(1801) 0 (0f8304) 0 (1f9062) 0 (b0)
73 143:(1801) 0 (0f8304) 0 (1f9202) 0 (b0)
100 161:(1801) 0 (0f9001)
71 197:(1801) 0 (0f9001) 0 (1f9062) 0 (b0)
74 208:(1801) 0 (0f9001) 0 (1f9202) 0 (b0)
78 219:(1801) 0 (0f9005)
74 220:(1801) 0 (0f9008)
93 221:(1801) 0 (0f9062)
70 236:(1801) 0 (0f9062) 0 (1f9531) 0 (b0)
90 240:(1801) 0 (0f9202)
86 253:(1801) 0 (0f9531)
77 257:(1801) 0 (0f9532)
84 258:(1802) 0 (0f1803)
69 259:(1802) 0 (0f1925)
69 260:(1802) 0 (0f3405)
