value_date,stock_code,open,close,HIGH,LOW,VOLUME,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2016-01-04,4722,784,778,797,765,101300,,778.0,778.0,,,,0.0,,,,,,
2016-01-05,4722,768,808,810,768,156900,,794.5,793.7894736842106,,,,-0.41666666666674246,,100.0,,,,
2016-01-06,4722,815,765,827,807,172100,,803.1428571428571,801.9852398523985,,,,-0.6708060424789437,,100.0,,,765.0,
2016-01-07,4722,810,767,810,782,128000,,799.1423267326733,798.7909275952312,,,,-0.17248504812619103,,57.115350953964644,,,767.0,
2016-01-08,4722,781,769,797,773,109500,,795.082449363738,795.4232619472052,,,,0.24062194351404287,,51.416346468527664,,,769.0,
2016-01-12,4722,774,827,787,763,93800,,787.2689981614682,788.9303204078889,,,,1.0216680325506786,,37.85660886142601,,,,827.0
2016-01-13,4722,752,787,797,752,151700,,788.8908992137077,789.9020761042057,,,,0.5798221416720253,,55.98335033775888,,,,787.0
2016-01-14,4722,768,785,773,726,117100,,778.2229936625631,781.4913090780955,,,,1.934947027978751,,35.811749692284366,,,,785.0
2016-01-15,4722,747,773,755,726,90300,,767.2962277584433,772.759167679704,,,,3.1923197625113744,0.6343801278838883,32.42438046208562,,,,773.0
2016-01-18,4722,698,755,724,698,60400,772.7,757.3613635369737,764.6588419837752,,835.5206972263123,709.8793027736878,4.177949950294192,1.0985967890276873,30.640834825752123,,,,755.0
2016-01-19,4722,723,724,733,714,51500,767.1,750.1374790520773,758.4420683436258,92.80205655526991,836.6554455093201,697.54455449068,4.621038973553823,1.6583418601633058,31.65301216693196,,,,724.0
2016-01-20,4722,723,698,729,699,59300,756.3,740.1201024992422,750.2976321781483,86.63366336633663,830.483825730411,682.1161742695889,5.5860321272971305,2.3535461012495364,26.987559982224482,,,698.0,
2016-01-21,4722,689,729,700,647,122600,739.5,722.0397589775622,736.5813822658423,79.41176470588235,826.9082375980663,652.0917624019337,8.034128356614133,3.2653920351095724,19.624693477470885,,,,729.0
2016-01-22,4722,672,700,710,667,97600,731.1,719.1299663619309,732.745781646072,89.38053097345133,813.0729223585448,649.1270776414552,7.130185812903051,4.030899131708351,39.71983571057964,,,,700.0
2016-01-25,4722,719,647,753,713,98800,727.8,725.4161751750033,735.1704137251364,95.79617834394905,803.223073392696,652.3769266073039,4.520713886859653,4.419682004409348,49.98986446096107,,,647.0,
2016-01-26,4722,728,649,749,724,95200,725.3,728.1792047072598,735.7632206777514,96.73202614379085,797.2002086227851,653.3997913772148,3.116947683843705,4.7015848424284234,47.658086214783715,47.77777777777778,,649.0,
2016-01-27,4722,752,651,764,747,64300,722.3,734.9143004909998,739.1520618017362,96.22166246851386,784.3067738235109,660.293226176489,1.0882380458832586,4.607506066640036,52.436600148690424,60.22944550669216,,651.0,
2016-01-28,4722,765,655,779,761,65800,725.7,742.5916851174279,743.4875960539691,104.5822102425876,794.9592232125082,656.4407767874919,-0.816072027533778,4.162129201079463,54.66518803437895,68.76267748478702,58.92330025641899,655.0,
2016-01-29,4722,764,662,788,754,66300,731.3,750.2905176436502,748.1715721662542,107.6923076923077,808.9456051557331,653.6543948442668,-2.417913691368085,3.429255463116988,56.14059896159827,82.72138228941685,70.57116842696536,662.0,
2016-02-01,4722,797,672,805,788,89300,739.8,760.4207659996512,754.6409389164353,111.80555555555556,828.4647618843021,651.1352381156978,-4.3288013626767,2.434828759091374,59.83577052968875,92.57641921397381,81.35349299605923,672.0,
2016-02-02,4722,799,685,807,791,59400,748.0,768.4631769767659,760.1832826764297,111.35734072022161,843.4693668147013,652.5306331852987,-5.449018387695446,1.20871203520331,59.57836027392695,96.58119658119658,90.62633269486241,685.0,
2016-02-03,4722,782,699,790,777,28200,756.3,771.1386016963241,762.714190884752,111.85714285714286,847.9910028301576,664.6089971698423,-5.126993615441279,-0.2536348505806245,54.29590296114589,94.35146443514645,94.50302674343895,699.0,
2016-02-04,4722,768,711,774,750,48900,767.2,768.542248224006,762.087202174906,116.82098765432099,824.1266194323883,710.2733805676118,-3.610638735670932,-1.4470598004221782,48.55570995685047,83.95833333333333,91.63033144989213,711.0,
2016-02-05,4722,742,722,761,733,30800,771.2,764.5934975102391,760.4477051079493,105.65770862800565,814.6768904131834,727.7231095868167,-2.031160284266889,-2.1750458194362383,46.51867668620006,72.08333333333333,83.4643770339377,722.0,
2016-02-08,4722,777,732,810,753,158200,776.5,771.9891371777928,765.2475117501273,107.04787234042554,822.1880728418255,730.8119271581745,-3.48090346402239,-2.90814039142136,57.62317425416212,76.19047619047619,77.41071428571428,732.0,
2016-02-09,4722,780,733,795,769,78500,779.8,772.1739322291303,766.0763099024314,104.45945945945947,818.7337899516596,740.8662100483403,-2.926188429085414,-3.35418777752899,51.2949994626104,79.01234567901234,75.76205173427395,733.0,
2016-02-10,4722,771,810,781,738,86900,778.2,767.75908966918,764.1570759633854,97.90575916230367,820.7469152818386,735.6530847181615,-1.3380407419753055,-3.412184301355827,46.956388686103146,77.82515991471215,77.67599392806689,,810.0
2016-02-12,4722,713,781,737,710,113000,771.8,757.584147812011,758.6533311868903,91.75257731958763,830.0875629958908,713.5124370041091,1.4024488217808084,-2.9876995776726165,41.51147497734917,51.47783251231527,69.43844603534659,,781.0
2016-02-15,4722,742,737,758,731,46400,768.7,756.7481842173784,758.0600539466548,96.04591836734694,827.3586736979278,710.0413263020723,1.3617555577691292,-2.3554154754008576,48.79401788437892,36.734693877551024,55.34589543485947,,737.0
2016-02-16,4722,752,710,762,731,57400,762.1,753.5133830843133,756.069674042442,91.80124223602485,817.7089920786194,706.4910079213806,1.9277992253000775,-1.5357690739569105,46.65770613757437,24.666666666666668,37.62639768551097,710.0,
2016-02-17,4722,739,711,766,739,67200,757.1,753.6020350982234,755.8544972022572,93.78109452736318,805.2285777890845,708.9714222109155,1.5702035188786567,-0.7916360590324731,49.22286432952943,38.666666666666664,33.35600907029477,711.0,
2016-02-18,4722,773,713,780,771,45500,756.1,757.134682869566,757.630013083575,98.7228607918263,802.4158720094954,709.7841279905047,0.41399381529845414,-0.3444546644803192,52.34868717470703,45.33333333333333,36.22222222222221,713.0,
2016-02-19,4722,769,717,779,766,37000,757.7,760.0231293216779,759.2160245318564,102.11360634081903,805.1219358525141,710.278064147486,-0.3819133180975314,-0.16120500157261278,52.34868717470703,56.666666666666664,46.88888888888888,717.0,
2016-02-22,4722,774,720,802,774,58800,763.2,767.6636055413653,763.616820714115,107.3627844712182,816.744747641575,709.6552523584251,-2.235457416454892,-0.022822107398446353,57.03104615009489,72.66666666666667,58.22222222222222,720.0,
2016-02-23,4722,810,726,812,775,77700,760.7,769.9085860132146,765.2972011788103,96.8944099378882,808.1977894222453,713.2022105777548,-2.4150285982333344,0.03397342936289584,52.7929109104683,74.50331125827815,67.94554819720383,726.0,
2016-02-24,4722,763,734,794,763,55400,762.3,773.382283737902,767.7221103843724,102.06985769728331,812.3563682262302,712.2436317737697,-2.875177154461312,-0.13681950535777154,54.28943787668535,79.27631578947368,75.48209790480618,734.0,
2016-02-25,4722,790,741,818,783,97800,767.6,778.4066825966732,771.1187684897593,107.0855614973262,821.5496061153365,713.6503938846636,-3.64925148465818,-0.698119539406548,56.279584289152865,76.92307692307693,76.9009013236096,741.0,
2016-02-26,4722,800,750,820,797,70600,778.1,785.427074350704,775.7921719236155,114.74719101123596,825.1017020968385,731.0982979031616,-4.7962746134993495,-1.3823451139919345,58.85199701099341,86.5625,80.92063090418355,750.0,
2016-02-29,4722,827,759,843,825,84000,785.4,792.8069156345211,780.8967888933546,109.6945551128818,836.9922474796354,733.8077525203646,-5.83938560650131,-2.2453656508587554,60.268125409740605,89.45868945868945,84.3147554605888,759.0,
2016-03-01,4722,818,772,826,808,57200,793.8,798.2983607474649,785.1702759154443,111.36671177266577,839.4490963765982,748.1509036234017,-6.228429005963108,-3.1118803758411735,59.53264271298342,89.36170212765957,88.46096386211634,772.0,
2016-03-02,4722,832,783,838,822,68100,801.5,804.2457024917543,789.8150366217618,110.21220159151193,843.5309409839936,759.4690590160064,-6.668629561878561,-3.898838528860842,60.902840915819006,87.71929824561403,88.84656327732102,783.0,
2016-03-03,4722,831,792,837,825,27500,807.3,809.111183918762,793.9834392230163,107.503234152652,847.9846408365607,766.6153591634392,-6.761793780781886,-4.60771413582577,60.902840915819006,88.35978835978835,88.48026291102066,792.0,
2016-03-04,4722,823,800,837,814,42700,813.3,813.4553820800004,797.9275946149962,107.76196636481241,849.4225691223637,777.1774308776362,-6.709180159156631,-5.104794440570408,61.28293434349547,90.47619047619048,88.85175902719764,800.0,
2016-03-07,4722,833,806,833,824,22600,815.8,815.9184003459795,800.8633049006294,103.11720698254364,851.9087247074713,779.6912752925286,-6.190950937978982,-5.524341367208813,59.41672730174308,88.41463414634147,89.08353766077346,806.0,
2016-03-08,4722,817,843,836,805,66100,820.5,817.9334779336781,803.4999872782994,106.02564102564102,847.9408454680236,793.0591545319764,-5.64978257851908,-5.832630858770788,59.41672730174308,85.8108108108108,88.23387847778095,,843.0
2016-03-09,4722,822,833,822,790,49200,821.0,813.5815101300748,802.5424670691182,100.63371356147022,846.2190404258359,795.7809595741641,-3.588733299611363,-5.825906615987808,49.752498127383134,69.31818181818183,81.18120892511139,,833.0
2016-03-10,4722,801,822,827,801,54300,823.1,815.112267352867,804.5020740990057,102.62172284644195,844.5186834329272,801.6813165670728,-3.3738425552483022,-5.667858609515469,56.254155417976065,64.16666666666667,73.09855309855313,,822.0
2016-03-11,4722,812,790,844,812,93900,824.5,818.0011354767452,807.1688344463421,101.71358629130967,845.9709105535827,803.0290894464173,-3.5395827333319403,-5.412324956941095,58.129524091687976,65.56016597510373,66.34833815331744,790.0,
2016-03-14,4722,836,791,841,833,57300,826.0,822.1829716007784,810.5714357151072,101.81598062953996,849.6643191323974,802.3356808676026,-4.004075252866187,-5.165174539930326,60.17255291960845,84.71074380165288,71.47919214780781,791.0,
2016-03-15,4722,841,792,845,829,32200,827.1,824.33161655013,812.9264292508946,101.33657351154312,851.1241545116566,803.0758454883435,-3.87253126095311,-4.854496950938609,58.0377400422828,87.94642857142857,79.4057794493951,792.0,
2016-03-16,4722,826,794,840,826,30900,827.1,825.5440934572946,814.742208632689,100.0,851.1241545116566,803.0758454883435,-3.525993071480343,-4.494963538793993,57.10270909097748,85.85858585858585,86.1719194105558,794.0,
2016-03-17,4722,838,796,845,829,48300,827.4,827.0815761962238,816.6760607470762,100.36101083032491,851.6849747786558,803.1150252213441,-3.3213317791955888,-4.118535941020544,57.834285415522594,79.06976744186046,84.29159395729165,796.0,
2016-03-18,4722,827,797,834,817,25400,826.4,826.3394535882824,817.3108396013516,98.79951980792316,850.5031118322914,802.2968881677085,-2.573151296445417,-3.71655820307237,54.185337433601326,71.51515151515152,78.81450160519931,797.0,
2016-03-22,4722,828,798,863,828,122300,829.9,832.8233168623966,821.7949180678828,104.23216444981863,862.1297998752699,797.6702001247301,-3.78683534722461,-3.5095640662618734,63.07952334108954,81.4207650273224,77.33522799477815,798.0,
2016-03-23,4722,871,801,874,862,51600,834.5,840.1282859288001,826.931056829362,105.56227327690448,875.6558015351414,793.3441984648586,-4.999467740929617,-3.6663123375194573,65.13540940182328,88.67924528301887,80.53838727516428,801.0,
2016-03-24,4722,873,806,882,868,61700,842.7,846.6505016583758,831.8514276852267,110.32745591939546,880.8790518478387,804.5209481521614,-5.804969619613303,-3.9364375668933462,65.69643700132309,96.78714859437751,88.96238630157296,806.0,
2016-03-25,4722,877,813,887,877,58400,848.9,853.4413927143478,837.0791714866031,107.54257907542579,891.4999999999993,806.3000000000006,-6.5408019340575265,-4.2699063669739665,67.2116464900192,96.33699633699634,93.93446340479761,813.0,
2016-03-28,4722,888,821,896,881,61900,855.0,860.4521103935475,842.5834657867714,107.34055354993983,902.7577218887161,807.2422781112839,-7.206841271099506,-4.625769257888781,68.70051166454401,95.59322033898306,96.23912175678568,821.0,
2016-03-29,4722,897,831,919,897,113900,862.8,871.0972580187246,850.2404076563225,109.27467300832343,922.7786628727245,802.8213371272755,-8.681926826494532,-5.160146542948938,73.13445272042208,97.89156626506023,96.6072609803466,831.0,
2016-03-30,4722,920,845,932,915,77500,871.7,880.5341758925773,857.5294654025369,110.67146282973621,938.0207358222143,805.3792641777858,-9.597937795509324,-5.834807067841047,73.7282291250748,96.44808743169399,96.6442913452458,845.0,
2016-03-31,4722,928,860,928,877,101100,876.3,879.8915953546698,859.4796729510296,105.53549939831528,936.8180964670894,815.7819035329105,-7.799892898588382,-6.332424969995802,57.884080539873814,83.15789473684211,92.4991828111988,860.0,
2016-04-01,4722,877,932,877,841,83300,877.2,873.18400606232,857.8293034137704,101.07913669064747,935.3982817615773,819.0017182384228,-4.773688427497291,-6.576929095668232,49.42891774057532,58.19672131147541,79.26756782667053,,932.0
2016-04-04,4722,839,877,871,838,67100,881.6,872.0596376891922,858.747576028351,105.34629404617255,928.2493301130888,834.9506698869112,-3.6858834699035015,-6.565712220410331,54.48311696986892,40.285714285714285,60.54677677801063,,877.0
2016-04-05,4722,863,871,863,817,44900,877.2,862.2305866591638,854.6680085401475,94.89559164733178,936.8912053823672,817.5087946176329,-0.5747374401771594,-6.074075520326725,44.667617213016754,22.318840579710145,40.26709205896665,,871.0
2016-04-06,4722,816,863,828,811,56200,872.0,854.7341001357986,851.2976313228789,94.04352806414661,940.6381817941001,803.3618182058999,1.4105140667553542,-5.272355110730207,45.31716536054602,17.37891737891738,26.661157414780632,,863.0
2016-04-07,4722,815,828,842,815,34200,867.5,850.4188015619134,849.2659279037671,94.86301369863014,940.2749957059424,794.7250042940576,2.2494712030871824,-4.295658095491906,47.528326142691554,8.683473389355742,16.12707711599445,,828.0
2016-04-08,4722,811,811,839,802,38300,862.1,846.7062868091982,847.3376777738121,93.89140271493213,937.1543802852301,787.0456197147699,2.79432267506877,-3.184417657028765,47.322253942153594,15.591397849462366,13.884596205911857,811.0,
2016-04-11,4722,825,802,837,816,25800,856.2,844.214231708512,845.9028000410066,93.38565022421524,930.193513229201,782.2064867707991,2.938713320315287,-1.8932354184943405,48.04996450017073,20.73490813648294,15.003259791767045,802.0,
2016-04-12,4722,835,802,850,833,39700,848.0,842.902551944118,845.0118997933926,91.07725788900979,909.4491659829483,786.5508340170517,2.7614254163714804,-0.5199728393964733,49.06040421130566,24.102564102564102,20.142956696169833,802.0,
2016-04-13,4722,844,803,851,839,21500,840.7,844.1929980690168,845.5110225537677,92.09100758396534,876.9552065226492,804.4447934773509,1.956465553802218,0.5640669886469267,52.30713314076161,29.230769230769234,24.689413823272123,803.0,
2016-04-14,4722,851,805,866,851,61400,839.5,847.9760917849482,847.4610199426214,98.63169897377423,871.4029779174286,807.5970220825714,0.6590783808243259,1.1677077451271063,55.80718734019984,37.43589743589744,30.256410256410287,805.0,
2016-04-15,4722,857,809,860,845,43200,839.8,847.6168021786794,847.3148437597387,100.35587188612101,871.8848874082478,807.7151125917521,0.6374720650043173,1.6480805823390863,50.72883047945869,39.743589743589745,35.4700854700855,809.0,
2016-04-18,4722,835,813,837,823,27700,835.6,843.5046545410872,845.0823396296648,95.15570934256056,862.9963501218673,808.2036498781328,1.5724466915258972,1.8866565969727591,45.771183482531576,33.33333333333333,36.83760683760687,813.0,
2016-04-19,4722,842,817,845,830,32500,837.7,842.6856261515114,844.4738555199051,102.56723716381417,862.4717581128175,812.9282418871826,1.5108262237832832,1.8978023921980847,49.32662856136041,26.94300518134715,33.33997608609011,817.0,
2016-04-20,4722,839,820,845,831,39300,839.0,841.1064209373077,843.4260823038898,101.58343483556638,861.3785611691176,816.6214388308824,1.6533937386867592,1.8315715628202598,48.11336206352425,27.794561933534744,29.356966816071775,820.0,
2016-04-21,4722,844,823,852,840,38300,841.0,842.9052539222927,844.18372636112,102.40673886883273,863.7332355814112,818.2667644185888,0.9144202386061124,1.622693514324409,52.400258277879885,43.7037037037037,32.81375693952857,823.0,
2016-04-22,4722,846,826,847,835,49100,842.4,843.1042987024543,844.1653482172496,101.68674698795182,863.944372815191,820.855627184809,0.7091298644526205,1.3749620192285572,50.5483140008993,59.13461538461539,43.54429367395131,826.0,
2016-04-25,4722,850,866,850,825,53500,841.8,840.1762439264024,842.4483502840853,99.2797118847539,864.6525709713358,818.9474290286641,1.3329544208045263,1.2162430197211178,46.27129025003082,58.88324873096447,53.90718927309456,,866.0
2016-04-26,4722,825,847,827,801,56500,838.6,833.7805623787859,838.7026059783253,96.1768219832736,870.4395979874108,806.7604020125892,2.7296005608563974,1.3021469093938043,41.39046020550259,36.787564766839374,51.60180962747312,,847.0
2016-04-27,4722,814,827,822,810,56200,835.6,831.2750053154099,836.8319366869538,96.47058823529412,868.2214653257627,802.9785346742374,2.8987315647934793,1.5509972631681548,45.60359663589988,24.742268041237114,40.13769384634703,,827.0
2016-04-28,4722,815,822,820,745,268700,823.9,816.1340939368041,827.9469959985772,86.47398843930635,880.824160072854,766.9758399271459,6.247091218831429,2.174288280260056,33.24872726961323,10.358565737051793,23.962799515042807,,822.0
2016-05-02,4722,725,817,729,708,134300,810.9,797.9278937393184,816.750314985393,84.63356973995272,894.7209997554305,727.0790002445694,9.798373975688264,3.0882802007225414,29.432234356378345,8.720930232558139,14.607254670282394,,817.0
2016-05-06,4722,718,729,724,715,104200,800.5,783.9410031514684,807.1737582486687,87.39393939393939,899.224870220223,701.775129779777,11.670063754384955,4.217084370789394,30.769421235199488,5.491990846681922,8.190495605430664,,729.0
2016-05-09,4722,730,708,739,724,75800,789.7,774.3153657547774,799.555290384087,87.12753277711562,892.7496967487041,686.650303251296,12.116438629447885,5.379644914207296,33.4841447105503,9.282700421940929,7.831873833727042,708.0,
2016-05-10,4722,736,708,739,730,80500,779.6,766.8034807783365,792.8989026250107,87.88968824940048,883.0995652164773,676.1004347835227,11.953479714294758,6.606207078172702,34.0412213161829,13.034188034188036,9.269626434270341,708.0,
2016-05-11,4722,742,708,742,726,97700,767.5,760.1119386045418,786.6082819817777,85.78143360752057,862.7438974423025,672.2561025576975,11.613831385843014,7.8178405805494116,33.58682517250266,15.418502202643172,12.57846355292409,708.0,
2016-05-12,4722,728,709,746,727,61800,757.5,757.1824951452112,782.3470084989453,88.15165876777252,838.440719047954,676.559280952046,10.380414454856577,8.823113917666307,37.76201739727547,18.863636363636363,15.772108866822569,709.0,
2016-05-13,4722,746,711,746,722,64000,747.5,751.6947686376351,776.8117870830158,87.9081015719468,815.2598701297442,679.7401298702558,10.010703165465543,9.632125318178433,34.89340937866341,17.824074074074073,17.368737546784583,711.0,
2016-05-16,4722,727,713,733,715,49100,738.6,745.2048105897893,770.7300936110694,88.94409937888199,796.4701995849314,680.7298004150687,9.96010734203162,10.41672262676045,33.13918059383916,14.583333333333334,17.090347923681303,713.0,
