Date,Open,High,Low,Close,Adj Close,Volume,Code,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-01-04,1675.0,1691.5,1671.0,1691.0,1691.0,13746200,6752,,1691.0,1691.0,,,,0.0,,,,,,
2018-01-05,1697.0,1724.5,1695.5,1719.0,1719.0,14879200,6752,,1706.4,1705.7368421052633,,,,-0.3888888888891415,,100.0,,,,
2018-01-09,1740.0,1740.5,1728.5,1671.0,1732.5,10485700,6752,,1716.892026578073,1715.6125461254614,,,,-0.7439518418962052,,100.0,,,1671.0,
2018-01-10,1732.5,1740.0,1723.5,1673.78,1738.5,9619400,6752,,1724.010891089109,1722.2678104100032,,,,-1.0012498831888479,,100.0,,,1673.78,
2018-01-11,1727.5,1732.5,1723.5,1676.4488,1728.5,8735700,6752,,1725.2995921648594,1723.7896754658007,,,,-0.8347132130838872,,79.85093806219481,,,1676.4488,
2018-01-12,1724.0,1727.0,1682.0,1679.010848,1708.0,10845800,6752,,1720.8062905202721,1720.4198382701006,,,,-0.13827630681294067,,55.26669385007349,,,1679.010848,
2018-01-15,1718.0,1719.5,1699.0,1681.47041408,1705.5,6682100,6752,,1717.1180893733642,1717.5600051063525,,,,0.35188969015462135,,53.11888028128122,,,1681.47041408,
2018-01-16,1702.0,1719.0,1681.0,1740.5,1716.5,7706500,6752,,1716.9774710621825,1717.373886743202,,,,0.2931233431486362,,60.40945743048704,,,,1740.5
2018-01-17,1705.5,1708.0,1690.0,1719.0,1694.0,8455800,6752,,1711.9783774388109,1713.5582372930521,,,,0.9931273344254805,-0.16321552957136495,44.99567507446778,,,,1719.0
2018-01-18,1708.0,1712.5,1677.0,1708.0,1678.5,10292000,6752,1711.2,1704.9460378639,1708.1756061241354,,1748.0949861092263,1674.3050138907738,1.9478901760526242,0.05321671221225996,37.833919619116706,,,,1708.0
2018-01-19,1683.0,1701.5,1676.5,1706.76,1696.5,6642300,6752,1711.75,1703.2206179201787,1706.474092510313,100.32525133057362,1747.572478976196,1675.927521023804,1.8659469993267521,0.30375403312513705,48.154126468982454,,,,1706.76
2018-01-22,1700.0,1719.0,1691.5,1676.5,1700.0,8582000,6752,1709.85,1702.5771443541116,1705.5718685700238,98.89470622454915,1745.94722981061,1673.7527701893898,1.6260855585469471,0.5670915220632651,49.89588727956716,,,1676.5,
2018-01-23,1710.0,1718.0,1702.0,1676.5,1714.5,7898300,6752,1708.05,1704.9172343017842,1706.7689684376944,98.96103896103897,1741.1179603241565,1674.9820396758435,0.8669659152126314,0.774671055218985,56.42685931537102,,,1676.5,
2018-01-24,1710.0,1736.0,1708.0,1677.35,1716.0,9604900,6752,1705.8,1707.0614541551445,1707.9658885161177,98.70578084555652,1732.7748030576681,1678.8251969423318,0.2758236052375196,0.8980640350324747,57.05055104449332,,,1677.35,
2018-01-25,1706.0,1707.0,1678.0,1736.0,1679.0,11663400,6752,1700.85,1701.6948590868208,1704.3182918594375,97.13624529939253,1727.5110202355418,1674.188979764458,1.3430036314273366,1.0626506948369498,41.33409290428749,,,,1736.0
2018-01-26,1692.5,1698.0,1659.0,1707.0,1659.0,9561500,6752,1695.95,1693.60595525343,1698.7557038931059,97.1311475409836,1731.9345800308959,1659.9654199691042,2.8311680744620844,1.3381260708711125,35.62165055099027,22.093023255813954,,,1707.0
2018-01-29,1662.0,1671.5,1656.0,1698.0,1658.5,6581100,6752,1691.25,1687.005265087864,1693.9244098113325,97.24420990911756,1732.8558890062445,1649.6441109937555,3.770124982358766,1.7244595863389047,35.48960030352781,2.178649237472767,,,1698.0
2018-01-30,1663.0,1668.0,1616.0,1671.5,1626.5,12563100,6752,1682.25,1675.6990880589988,1685.9912430598915,94.75677250218469,1735.4388146136,1629.0611853864,5.629401979201475,2.2396012135362375,28.267318232555652,4.553415061295972,9.608362518194232,,1671.5
2018-01-31,1613.0,1650.0,1610.5,1667.06,1619.0,10832300,6752,1674.75,1665.157321638567,1678.2458280348335,95.57260920897285,1739.1631197816089,1610.3368802183911,7.035152579530177,2.80485259170041,26.886297174256825,6.525037936267071,4.41903407834527,,1667.06
