Date,Open,High,Low,Close,Adj Close,Volume,Code,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-01-04,451,452,448,451,451,9063300,9501,,451.0,451.0,,,,0.0,,,,,,
2018-01-05,452,458,452,458,458,10423500,9501,,454.85,454.68421052631584,,,,-0.09722222222228538,,100.0,,,,
2018-01-09,461,463,459,448,462,10026500,9501,,457.7242524916943,457.38376383763847,,,,-0.19819785711581517,,100.0,,,448.0,
2018-01-10,463,471,463,448,468,13539200,9501,,461.1096534653465,460.4707763884851,,,,-0.3711019998130496,,100.0,,,448.0,
2018-01-11,464,468,463,449,467,7472200,9501,,462.8006117527107,462.0651754535909,,,,-0.41832333095112517,,93.6,,,449.0,
2018-01-12,465,465,458,450,460,8484200,9501,,462.0731961423088,461.6244250990803,,,,-0.23359943177160858,,63.13823163138232,,,450.0,
2018-01-15,461,462,456,451,458,5181000,9501,,461.0917194962366,460.92969564489835,,,,-0.05692151384863564,,57.39122863030796,,,451.0,
2018-01-16,457,459,455,452,457,5121700,9501,,460.1608335917311,460.23970979792045,,,,0.0849294400842382,,54.70978479953856,,,452.0,
2018-01-17,456,458,454,453,457,5690300,9501,,459.4731468132253,459.7108462398443,,,,0.17165644351280207,-0.12430894134727548,54.70978479953856,,,453.0,
2018-01-18,459,459,452,471,452,7064700,9501,459.0,457.90336625322607,458.52696922508244,,469.54514106117125,448.45485893882875,0.3948672043056831,-0.0804348075355329,43.04693278392902,,,,471.0
2018-01-19,455,456,450,458,455,4636000,9501,459.4,457.3102448254078,458.0129756826311,100.88691796008868,468.9582425162788,449.84175748372115,0.42083476041915446,-0.02287292057537292,49.94214906373556,,,,458.0
2018-01-22,455,457,452,456,456,5010000,9501,459.2,457.04846030730545,457.73244913019204,99.56331877729258,468.94884608556316,449.4511539144368,0.3882277971712824,0.04228548545652681,52.02707394539699,,,,456.0
2018-01-23,456,459,455,450,457,5295100,9501,458.7,457.0389490390862,457.6342410377479,98.91774891774891,468.3353515763567,449.0646484236433,0.3168984185780346,0.1187299763888695,54.08648680449614,,,450.0,
2018-01-24,456,460,455,450,460,5293800,9501,457.9,457.6118335004283,457.940991630411,98.29059829059828,465.40732975164934,450.3926702483506,0.14297758563384377,0.18109674489831049,59.678744729885054,,,450.0,
2018-01-25,461,461,456,450,458,5757200,9501,457.0,457.68606815736274,457.94842239613774,98.07280513918629,461.47213595499954,452.52786404500046,0.10165653888924453,0.21834740830507193,54.87973024543528,,,450.0,
2018-01-26,457,460,455,450,457,4216200,9501,456.7,457.5560867154103,457.8320084098357,99.34782608695653,460.70499687890015,452.69500312109983,0.1113599658966109,0.23704535049898823,52.60206516429515,41.53846153846154,,450.0,
2018-01-29,454,457,452,450,457,4280100,9501,456.6,457.45153020677486,457.73215480108746,99.78165938864629,460.5191835884531,452.68081641154697,0.11456615355126587,0.2403383186619913,52.60206516429515,34.92063492063492,,450.0,
2018-01-30,455,455,448,461,451,6415200,9501,456.0,456.24597987129675,456.9400483995189,98.6870897155361,461.13809303146604,450.86190696853396,0.3642224409895789,0.26173454060385537,40.814734040323216,27.419354838709676,34.626150432602046,,461.0
2018-01-31,446,447,440,455,442,9443300,9501,454.5,453.59729895993684,455.21270509219625,96.71772428884027,464.26729235765976,444.73270764234024,0.9033263027487806,0.31822999598642177,29.967130754621436,18.181818181818183,26.840602647054265,,455.0
2018-02-01,445,446,441,447,445,6982000,9501,453.8,452.00538527507194,454.05008741524506,98.45132743362832,465.0712022428842,442.5287977571158,1.1124436822932466,0.3950754317502098,36.06680523273832,14.925373134328357,20.175515384952075,,447.0
2018-02-02,442,448,440,440,447,7829200,9501,453.0,451.0816571186613,453.25845955329794,98.24175824175823,464.93314711214094,441.06685288785906,1.134003657577125,0.4779394162397479,39.82935970510546,20.588235294117645,17.89847553675473,440.0,
2018-02-05,441,445,440,440,444,12006200,9501,451.8,449.77831590852065,452.23147960050443,97.36842105263158,464.66234815265074,438.9376518473493,1.2453165784061753,0.5810969895539857,36.37160051608638,25.0,20.171202809482,440.0,
2018-02-06,436,438,416,448,421,20123200,9501,448.2,444.4935867647624,448.80461033830375,92.12253829321662,470.1599635700972,426.2400364299028,2.294407088907917,0.8201447121399938,21.1860064936657,18.39080459770115,21.326346630606267,,448.0
2018-02-07,429,430,415,438,416,14638000,9501,443.8,439.2706374279449,445.23979680900925,90.43478260869566,471.4376554721994,416.1623445278006,3.1571685015508137,1.1596460413246126,19.29956340024934,8.928571428571429,17.43979200875753,,438.0
2018-02-08,420,421,411,430,413,13175700,9501,439.3,434.46229826760145,441.76646751718954,90.17467248908298,470.6311346746331,407.96886532536695,3.779671774447536,1.5672362422747155,18.249577754332762,5.673758865248227,10.997711630506936,,430.0
2018-02-09,399,400,395,421,398,13501200,9501,433.4,427.79665369920207,437.08750945340705,87.08971553610503,470.8080205303621,395.99197946963784,4.757788831350467,2.083149873141293,14.114703366552163,3.7037037037037033,6.1020113325077885,,421.0
2018-02-13,403,404,394,400,395,11890600,9501,427.2,421.8070587420062,432.6189106636711,86.43326039387308,467.3576891765449,387.04231082345507,5.410745983100867,2.643874711153659,13.457948872368846,3.278688524590164,4.2187170311807005,,400.0
2018-02-14,395,397,387,399,389,12719700,9501,421.0,415.8204130276457,428.01613439051283,86.25277161862527,463.614551505325,378.385448494675,5.959037766948882,3.2056204293981145,12.232074170441805,2.898550724637681,3.293647650977185,,399.0
2018-02-15,392,394,388,397,388,8759000,9501,415.6,410.7470922202713,423.8167232838093,87.78280542986425,459.8556211118994,371.34437888810066,6.194122104357859,3.7702513651830714,12.035304693455885,1.8691588785046727,2.6821327092441742,,397.0
2018-02-16,392,406,391,387,405,13826000,9501,411.6,409.6996216622545,421.8517536152004,91.01123595505618,451.52192380134,371.67807619866005,5.393044896637605,4.243478169523125,32.047568942406016,9.67741935483871,4.81504298599369,387.0,
2018-02-19,408,415,407,387,414,9412400,9501,408.3,410.483065862254,421.03543399279545,92.61744966442953,440.72283146179547,375.87716853820456,4.276192224760223,4.58024213022913,39.84955137926766,21.80094786729858,11.115842033547324,387.0,
2018-02-20,416,418,413,388,417,9730400,9501,405.6,411.6698930873918,420.6175414861283,93.91891891891892,428.892917378465,382.3070826215351,3.252061164363681,4.686648138613104,42.23056309707234,37.68844221105528,23.055603144397523,388.0,
2018-02-21,418,419,409,389,412,8818200,9501,404.7,411.729992493707,419.72830719286856,97.8622327790974,426.16718425877025,383.23281574122973,2.6870559651778194,4.634413412349438,39.4291719522063,43.15789473684211,34.215761605065325,389.0,
2018-02-22,406,407,400,391,401,10065700,9501,403.2,409.77695856905257,417.80189755251365,96.39423076923077,423.35539629975045,383.0446037002495,2.725058647377182,4.517234176008287,34.07395799286789,37.704918032786885,39.517084993561426,391.0,
2018-02-23,405,411,403,393,408,7256200,9501,402.7,409.4535871577229,416.79654218913925,98.78934624697337,422.09175082348145,383.30824917651853,2.3467663117797315,4.249342784944872,39.68773133191345,33.33333333333333,38.06538203432078,393.0,
2018-02-26,412,420,412,395,416,7472800,9501,404.5,410.6447121006329,416.71505212960517,104.52261306532664,425.11552812808816,383.88447187191184,1.6518712871112484,3.8316900409460257,45.40903825757557,37.64705882352941,36.228436729883214,395.0,
2018-02-27,419,419,414,397,417,7524900,9501,406.7,411.80090839744855,416.7441366209827,105.56962025316456,427.4855719190017,385.9144280809983,1.0847075164793978,3.290097790893861,46.097364422813804,52.63157894736842,41.20399036807706,397.0,
2018-02-28,413,417,410,399,412,8054700,9501,409.0,411.83712453896965,416.26090494551573,105.91259640102828,426.2278843738862,391.7721156261138,0.8969679117992655,2.701525102831795,43.16663062966119,65.625,51.967879256965944,399.0,
2018-03-01,407,408,403,401,405,7037600,9501,410.7,410.593514591503,415.11601163541184,104.38144329896907,421.43498952025533,399.96501047974465,1.0640143730006457,2.220521711316577,39.39083735668671,66.36363636363637,61.540071770334926,401.0,
2018-03-02,399,400,394,420,396,10110300,9501,409.8,407.9392814759286,413.17573141709005,97.77777777777777,423.4176356244391,396.18236437556095,1.5583394158883266,1.9185380658863664,35.13548818159674,52.0,61.32954545454546,,420.0
2018-03-05,395,396,388,400,391,9456900,9501,407.5,404.85858894360405,410.9282606330654,94.44444444444444,424.7800462962341,390.2199537037659,2.075241468951276,1.7877803219516548,33.00245129281386,31.313131313131315,49.892255892255896,,400.0
2018-03-06,398,402,397,388,400,9252600,9501,405.8,403.9750159677379,409.8221921480288,95.92326139088729,422.33602128687534,389.2639787131247,1.9471720948479856,1.7055710030261177,40.056691910804744,25.510204081632654,36.27444513158799,388.0,
