value_date,stock_code,open,close,HIGH,LOW,VOLUME,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-01-04,3319,1080,1096,1119,1079,108600,,1096.0,1096.0,,,,0.0,,,,,,
2018-01-05,3319,1086,1118,1126,1071,69800,,1108.1,1107.578947368421,,,,-0.305555555555884,,100.0,,,,
2018-01-09,3319,1089,1119,1091,1014,351400,,1089.970099667774,1091.129151291513,,,,0.6971567031384893,,27.08333333333333,,,,1119.0
2018-01-10,3319,1053,1091,1065,1034,55800,,1073.5071782178218,1076.2617039837162,,,,1.6245222409120288,,20.388243035753447,,,,1091.0
2018-01-11,3319,1045,1065,1064,1043,65700,,1067.6201250955864,1070.581328905277,,,,1.6950617108261667,,30.80076263107722,,,,1065.0
2018-01-12,3319,1050,1014,1065,1050,39800,,1064.6019772280104,1067.4693773889735,,,,1.5896926071043254,,32.97922787710456,,,1014.0,
2018-01-15,3319,1059,1015,1067,1036,67200,,1058.4329291722192,1062.0123698709094,,,,1.9825784860415752,,27.664464377205945,,,1015.0,
2018-01-16,3319,1038,1017,1047,1030,49400,,1055.1493682293192,1058.8497126565794,,,,2.0009503694020623,,31.177477814583668,,,1017.0,
2018-01-17,3319,1041,1019,1099,1037,138200,,1052.723655866589,1056.4255844593536,,,,1.9492835205071515,1.2481877869306572,31.177477814583668,,,1019.0,
2018-01-18,3319,1044,1099,1048,1002,87000,1055.6,1042.2788954059315,1048.2229411340572,,1116.0728038046855,995.1271961953144,3.2725576361110598,1.6118053020541083,21.32725134380999,,,,1099.0
2018-01-19,3319,1016,1048,1067,1016,131500,1050.8,1043.4476455495833,1048.1904513968525,95.62043795620438,1104.9760094506782,996.6239905493215,2.423223779577256,1.9150030059577905,42.718386073278786,,,,1048.0
2018-01-22,3319,1078,1002,1105,1067,149600,1049.1,1054.9465006362786,1055.549944476343,98.47942754919498,1095.199457697461,1003.000542302539,-0.16853316024185006,1.8188152433599751,57.40737604941057,,,1002.0,
2018-01-23,3319,1099,1004,1170,1099,152200,1058.5,1074.9764645206633,1069.1525497913565,108.8428974600188,1138.195671149693,978.8043288503071,-4.01146336561078,1.1925946204129962,67.0282671993872,,,1004.0,
2018-01-24,3319,1170,1010,1222,1153,164100,1074.5,1099.165187282819,1086.118577835798,115.38461538461537,1189.3886417362482,959.6113582637518,-8.130440377370178,0.10087216616895806,72.21764282367036,,,1010.0,
2018-01-25,3319,1178,1022,1224,1178,118600,1087.6,1115.3893674351768,1098.444522818932,112.4406457739791,1218.4593137686422,956.7406862313576,-10.011742054751267,-1.1881761295927744,67.9332253593764,,,1022.0,
2018-01-26,3319,1208,1038,1249,1203,139800,1103.8,1134.829823659951,1113.1193446489146,115.34090909090908,1253.722113112109,953.877886887891,-12.35539058315294,-2.7812838039477206,71.7663979868172,86.5021770682148,,1038.0,
2018-01-29,3319,1245,1059,1268,1196,87400,1120.4,1148.023357051655,1124.1464146911096,115.97690086621752,1274.644481262702,966.1555187372982,-13.02941718107627,-4.451324642889757,68.39968334046787,81.7687074829932,,1059.0,
2018-01-30,3319,1210,1084,1236,1140,157400,1134.7,1155.3066376806205,1131.5417775066926,113.69731800766283,1284.4091847549776,984.9908152450224,-12.341235090546206,-6.039160044117908,63.92781646789107,77.53530166880617,81.93539540667139,1084.0,
2018-01-31,3319,1204,1106,1280,1204,187600,1152.5,1167.7065875110752,1142.000405286048,117.04980842911878,1297.0800816156916,1007.9199183843084,-12.988213263345415,-7.845912366279738,68.27155596995664,75.06172839506173,78.12191251562037,1106.0,
2018-02-01,3319,1219,1130,1230,1181,93000,1174.6,1178.1301233362765,1151.3352658794595,122.03389830508475,1284.3932602667398,1064.80673973326,-13.121235479942925,-9.573074506226426,68.50494495042312,76.27737226277372,76.29146744221389,1130.0,
2018-02-02,3319,1212,1151,1223,1183,86600,1189.7,1181.9815936299035,1156.687360022367,114.40839694656488,1260.195673626118,1119.2043263738822,-11.734532956700605,-10.858185594721842,62.332712225251086,76.61870503597122,75.9859352312689,1151.0,
2018-02-05,3319,1139,1280,1153,1121,125800,1193.3,1173.7029713112424,1154.5035708131572,103.26975476839237,1246.9809090832125,1139.6190909167874,-7.735526293107114,-11.271970364443657,50.242633461229644,66.42685851318944,73.10764527064481,,1280.0
2018-02-06,3319,1100,1153,1100,1022,158000,1184.2,1153.9248497155531,1144.7925302126437,92.13483146067416,1276.4249423962958,1091.9750576037043,-1.6703405563678189,-10.554181495443395,40.544351492187396,47.482014388489205,63.509192645883296,,1153.0
2018-02-07,3319,1104,1100,1131,1086,112100,1173.4,1142.573862020513,1139.0556681067712,91.0,1279.8864310604881,1066.913568939512,1.339613624995991,-9.292919753249256,44.750192612951345,33.53658536585366,49.148486089177446,,1100.0
2018-02-08,3319,983,1096,1061,956,429900,1158.1,1122.1523944601824,1127.4143752225207,87.0777027027027,1294.001287705452,1022.198712294548,6.054178074498395,-7.24741212462133,37.96470658665649,24.82678983833718,35.28179653089336,,1096.0
2018-02-09,3319,1000,1061,1030,987,151200,1137.5,1102.015520354194,1115.0757275715139,83.08702791461413,1292.0140770285993,982.9859229714006,9.915443553890782,-4.697983154069435,36.12720040394885,22.697368421052634,27.020247875081168,,1061.0
2018-02-13,3319,1075,956,1075,1044,187400,1121.9,1092.3333894795335,1108.0602039615017,87.0539419087137,1277.5006426721945,966.2993573278056,10.568328423873254,-2.1524760969117174,42.013082899462184,23.045267489711936,23.523141916367262,956.0,
2018-02-14,3319,1035,958,1065,1006,182400,1103.9,1076.7617171014363,1097.3960791157165,84.83572030328558,1266.691768833685,941.1082311663151,12.582986930834522,0.6887683691082758,37.75950687592872,20.5761316872428,22.106255866002467,958.0,
2018-02-15,3319,1000,960,1007,979,84100,1080.7,1060.939880660085,1086.1256179798736,81.01472995090016,1235.485141405756,925.914858594244,14.333647802392079,3.7393109560343873,36.163536390313716,18.31275720164609,20.644718792866954,960.0,
2018-02-16,3319,995,962,1020,989,73000,1057.6,1048.557092638066,1076.4008103212327,81.12745098039215,1186.776468445301,928.4235315546989,14.94622568841055,6.703839694380071,36.6722224142809,12.551440329218108,17.14677640603568,962.0,
2018-02-19,3319,1010,964,1015,989,79800,1039.0,1042.0792909638203,1069.8092477126709,84.48707256046706,1129.0044443347097,948.9955556652905,13.994990488999292,9.11834155905856,40.09916841702927,13.168724279835391,14.677640603566543,964.0,
2018-02-20,3319,1010,966,1026,995,76400,1025.6,1034.9623912875893,1062.8907640885943,88.2145998240985,1089.3131069717983,961.8868930282014,13.378331246070047,10.79041620377388,38.9638198183079,14.506172839506174,13.408779149519901,966.0,
2018-02-21,3319,1000,968,1010,981,75100,1019.1,1028.7791837403734,1056.5043266165824,93.90243902439023,1078.08779534785,960.11220465215,12.642472961478916,12.046289463383093,38.72764714054247,16.16052060737527,14.611805908905621,968.0,
2018-02-22,3319,1007,970,1007,984,52900,1008.6,1021.1746897729104,1049.3550523409262,90.38461538461539,1044.9999999999977,972.2000000000023,12.397039891308395,12.751051887473093,37.03538471685528,14.219653179190752,14.962115542024074,970.0,
2018-02-23,3319,1002,972,1016,987,63200,1005.2,1016.7753730491157,1043.985129589877,96.70223084384094,1038.8428298453005,971.5571701546996,11.393013256602444,12.9152262988855,39.08296985385909,15.853658536585366,15.411277441050473,972.0,
2018-02-26,3319,1019,974,1031,996,106100,1005.2,1015.9064901834082,1040.7128985015277,100.0,1038.8428298453005,971.5571701546996,9.676068741936433,12.816086334225853,42.12332907686761,20.031298904538342,16.701536873438165,974.0,
2018-02-27,3319,1009,976,1012,983,111000,998.6,1009.9199223530121,1034.8221708518836,93.70829361296474,1018.2814633602239,978.9185366397761,9.547204313538145,12.478777154526256,38.15813259703991,22.6691042047532,19.51802054862565,976.0,
2018-02-28,3319,983,977,1025,982,112500,998.9,1009.9344890316606,1032.2938163444624,100.29791459781529,1019.1672149048613,978.6327850951386,7.92696297536088,11.766923284856123,43.49155332133313,29.21108742004264,23.970496843111405,977.0,
2018-03-01,3319,988,1075,996,971,159600,997.5,1003.7621181933887,1026.5704385125007,98.58585858585859,1021.6039415863845,973.3960584136155,8.14905216501927,11.011681782257092,38.93756536046441,21.608040201005025,24.496077275266966,,1075.0
2018-03-02,3319,957,996,966,940,110700,993.5,994.5296269877376,1019.1030196166768,95.9718026183283,1029.5693775937405,957.4306224062595,9.106901946272387,10.468560833065213,36.17785575975675,20.11173184357542,23.643619821541037,,996.0
2018-03-05,3319,950,966,953,920,84300,985.3,982.9756984624571,1010.1739358877751,91.90523198420533,1034.7210481475233,935.8789518524767,10.487992394204866,10.14741207174686,33.716277016229014,7.552083333333333,16.423951792637933,,966.0
2018-03-06,3319,941,920,966,928,87700,980.0,976.9788058749302,1004.0836259710532,94.71585244267199,1031.992307123264,928.007692876736,10.226247998385702,9.87894263140317,37.661254868376,13.810741687979538,13.824852288296102,920.0,
2018-03-07,3319,950,920,988,948,78500,976.1,974.2548993942519,999.8294232175979,96.1038961038961,1027.0466387507538,925.1533612492462,9.182167481249053,9.52173458584102,40.08660226355274,22.615803814713896,14.65954294534226,920.0,
2018-03-08,3319,964,922,980,956,39100,974.6,973.8448576766641,997.0192283643959,98.48024316109422,1025.055524970015,924.1444750299851,7.732400237593652,9.114999805951154,42.10793754825512,37.23723723723724,24.55459424664356,922.0,
2018-03-09,3319,987,924,993,954,42900,971.0,971.509149328634,993.3855912758276,96.38916750250752,1019.6538795986487,922.3461204013513,7.02003880311122,8.819885368303908,40.48972127810422,40.54054054054054,33.464527197497226,924.0,
2018-03-12,3319,969,928,974,957,23600,966.5,970.6892236682585,990.7261417273515,95.55335968379447,1006.7517080382908,926.2482919617092,6.045392382004366,8.430795153689044,41.80347185102419,42.04204204204204,39.93993993993994,928.0,
2018-03-13,3319,977,931,1003,974,64700,967.9,975.4733846673668,991.3579945331144,101.42421159715158,1011.2077360294878,924.5922639705121,3.816685979751469,7.974097709732443,47.98637882263606,49.549549549549546,44.04404404404405,931.0,
2018-03-14,3319,997,936,1012,988,47400,967.8,981.5695327136048,993.1334920117612,99.9009900990099,1010.7213233719534,924.8786766280465,1.6372160651660579,7.250560365304308,50.26264475432973,63.96396396396396,51.851851851851855,936.0,
2018-03-15,3319,1000,943,1011,984,31000,969.7,984.0115668933403,993.3212178067495,101.94672131147541,1015.4912655426754,923.9087344573247,0.7570110803397938,6.3227947135340195,47.64303384638197,72.37237237237237,61.96196196196197,943.0,
2018-03-16,3319,987,949,990,972,39600,972.0,982.5548544136698,991.5801228138665,102.4134312696747,1016.4971909225718,927.5028090774282,1.0141421800638,5.270144689740568,44.27078997841526,67.2782874617737,67.87154126603669,949.0,
2018-03-19,3319,980,955,990,955,34800,977.4,982.9994423082275,990.9190441869059,105.80021482277122,1012.8761891978241,941.9238108021758,0.7418891340189475,4.216327038144262,46.21288902251982,61.059190031152646,66.90328328843292,955.0,
2018-03-20,3319,970,1012,971,956,45500,979.1,980.0903673016435,988.5171127663855,101.78947368421052,1010.5636297969547,947.6363702030453,1.3650993057340202,3.3477639075314807,42.98637200903975,55.62913907284768,61.322205521924694,,1012.0
2018-03-22,3319,966,971,983,961,31500,980.8,979.8921139341679,987.5618123284405,101.76715176715176,1010.1502981245475,951.4497018754524,1.1913921268261447,2.620985228557313,45.7078289840636,59.16955017301038,58.61929309233691,,971.0
2018-03-23,3319,956,970,957,932,56800,976.9,971.3661072972246,982.0871190118868,95.98765432098766,1017.9312076351624,935.8687923648375,3.159426572062557,2.192028313996351,38.183615457734696,43.11594202898551,52.638210424947864,,970.0
2018-03-26,3319,926,957,934,897,119500,973.4,963.1175913773228,976.4612862799221,96.3579604578564,1024.0928002777496,922.7071997222504,4.7174582149156095,2.044480073208711,37.180590605543514,33.77926421404682,45.35491880534757,,957.0
2018-03-27,3319,933,934,949,931,38200,971.4,960.1870816226063,973.5070662576176,97.93174767321614,1024.467504180994,918.3324958190061,4.658060548774188,2.1379661364334575,42.094846856398995,28.57142857142857,35.15554493815363,,934.0
2018-03-28,3319,948,897,984,947,62200,970.1,964.5167498003825,974.5589525681169,98.69608826479438,1021.195596679164,919.004403320836,2.7672495160582002,2.263525408754807,49.578997773593436,48.11594202898551,36.822211604820296,897.0,
2018-03-29,3319,989,898,1010,982,90600,969.8,972.0592254248415,977.7100481151991,99.70267591674926,1020.0059757399436,919.5940242600564,0.3869677635550488,2.222409484667613,53.43297755118883,71.30434782608695,49.330572808833686,898.0,
2018-03-30,3319,1024,902,1040,1011,98100,973.9,983.6849046627437,983.5507052158661,104.12060301507537,1036.7677977982353,911.0322022017647,-2.620619034938386,1.8185471274451477,58.13254392969162,89.81233243967829,69.7442074315836,902.0,
2018-04-02,3319,1046,910,1057,1034,67600,982.0,997.015000669251,990.9088573694879,108.29918032786885,1062.3143822736613,901.6856177263387,-5.5450213974197595,1.120001512840847,61.09256398703594,97.60765550239235,86.24144525605254,910.0,
